product_type,base_demand,temperature,actual_sales

HEAT_BOOST,45,5.5,14
HEAT_BOOST,50,3.0,14
HEAT_BOOST,30,8.0,11
HEAT_BOOST,60,4.5,21
HEAT_BOOST,40,7.0,14
HEAT_BOOST,55,2.5,16
HEAT_BOOST,35,9.0,13
HEAT_BOOST,70,6.0,24
HEAT_BOOST,25,3.5,8
HEAT_BOOST,50,10.0,20
COLD_BOOST,40,4.5,60
COLD_BOOST,55,3.0,87
COLD_BOOST,30,8.5,41
COLD_BOOST,60,5.0,88
COLD_BOOST,45,2.0,71
COLD_BOOST,50,7.0,70
COLD_BOOST,35,6.5,50
COLD_BOOST,65,3.5,100
COLD_BOOST,25,9.0,33
COLD_BOOST,50,4.0,76
WEATHER_NEUTRAL,40,6.0,39
WEATHER_NEUTRAL,55,3.5,54
WEATHER_NEUTRAL,30,9.0,31
WEATHER_NEUTRAL,60,5.0,61
WEATHER_NEUTRAL,45,7.5,44
WEATHER_NEUTRAL,50,2.5,49
WEATHER_NEUTRAL,35,8.0,36
WEATHER_NEUTRAL,70,4.0,68
WEATHER_NEUTRAL,25,6.5,24
WEATHER_NEUTRAL,50,10.0,51
HEAT_BOOST,65,4.0,21
HEAT_BOOST,40,8.5,15
HEAT_BOOST,55,5.0,18
HEAT_BOOST,35,3.0,10
HEAT_BOOST,80,6.5,27
HEAT_BOOST,45,7.0,16
HEAT_BOOST,30,2.0,8
HEAT_BOOST,60,9.5,23
HEAT_BOOST,50,5.5,17
HEAT_BOOST,20,6.0,7
COLD_BOOST,50,3.5,76
COLD_BOOST,30,8.0,41
COLD_BOOST,60,4.0,89
COLD_BOOST,45,6.5,64
COLD_BOOST,40,9.0,53
COLD_BOOST,70,2.5,110
COLD_BOOST,35,5.5,51
COLD_BOOST,55,3.0,87
COLD_BOOST,25,7.5,35
COLD_BOOST,60,6.0,86
WEATHER_NEUTRAL,65,4.5,64
WEATHER_NEUTRAL,40,8.0,41
WEATHER_NEUTRAL,50,3.0,49
WEATHER_NEUTRAL,35,6.5,34
WEATHER_NEUTRAL,75,5.5,77
WEATHER_NEUTRAL,30,2.0,29
WEATHER_NEUTRAL,55,9.0,56
WEATHER_NEUTRAL,45,7.0,46
WEATHER_NEUTRAL,60,4.0,59
WEATHER_NEUTRAL,20,8.5,21
HEAT_BOOST,50,6.0,17
HEAT_BOOST,40,3.0,11
HEAT_BOOST,60,8.5,22
HEAT_BOOST,35,5.0,12
HEAT_BOOST,75,4.5,24
HEAT_BOOST,30,7.5,11
HEAT_BOOST,55,2.5,16
HEAT_BOOST,45,9.0,17
HEAT_BOOST,65,6.0,22
HEAT_BOOST,25,4.0,8
COLD_BOOST,45,5.0,66
COLD_BOOST,35,3.5,54
COLD_BOOST,65,8.0,88
COLD_BOOST,50,2.0,80
COLD_BOOST,30,6.5,43
COLD_BOOST,75,4.0,111
COLD_BOOST,40,7.5,55
COLD_BOOST,60,3.0,95
COLD_BOOST,20,8.5,27
COLD_BOOST,55,5.5,79
WEATHER_NEUTRAL,55,6.0,53
WEATHER_NEUTRAL,45,3.5,46
WEATHER_NEUTRAL,35,7.5,34
WEATHER_NEUTRAL,65,4.0,66
WEATHER_NEUTRAL,25,8.0,26
WEATHER_NEUTRAL,50,2.5,51
WEATHER_NEUTRAL,40,9.5,39
WEATHER_NEUTRAL,70,5.0,72
WEATHER_NEUTRAL,30,6.5,31
WEATHER_NEUTRAL,60,3.0,58

HEAT_BOOST,45,16.5,37
HEAT_BOOST,50,19.0,44
HEAT_BOOST,30,13.0,21
HEAT_BOOST,60,21.0,53
HEAT_BOOST,40,18.0,32
HEAT_BOOST,55,14.5,41
HEAT_BOOST,35,22.0,33
HEAT_BOOST,70,17.5,59
HEAT_BOOST,25,15.0,19
HEAT_BOOST,50,20.5,43
COLD_BOOST,40,13.5,33
COLD_BOOST,55,15.0,43
COLD_BOOST,30,21.5,19
COLD_BOOST,60,18.0,42
COLD_BOOST,45,12.0,38
COLD_BOOST,50,16.5,38
COLD_BOOST,35,19.0,25
COLD_BOOST,65,14.0,52
COLD_BOOST,25,22.0,15
COLD_BOOST,50,17.5,36
WEATHER_NEUTRAL,40,18.0,41
WEATHER_NEUTRAL,55,14.0,54
WEATHER_NEUTRAL,30,22.0,29
WEATHER_NEUTRAL,60,16.5,61
WEATHER_NEUTRAL,45,19.5,46
WEATHER_NEUTRAL,50,13.0,48
WEATHER_NEUTRAL,35,21.0,36
WEATHER_NEUTRAL,70,15.5,69
WEATHER_NEUTRAL,25,17.0,25
WEATHER_NEUTRAL,50,20.0,52
HEAT_BOOST,65,22.5,62
HEAT_BOOST,40,14.0,28
HEAT_BOOST,55,18.5,46
HEAT_BOOST,35,12.5,23
HEAT_BOOST,80,21.0,71
HEAT_BOOST,45,16.0,35
HEAT_BOOST,30,19.5,26
HEAT_BOOST,60,13.5,43
HEAT_BOOST,50,17.0,40
HEAT_BOOST,20,22.0,19
COLD_BOOST,50,12.5,43
COLD_BOOST,30,16.0,23
COLD_BOOST,60,21.0,38
COLD_BOOST,45,19.5,30
COLD_BOOST,40,13.0,33
COLD_BOOST,70,15.0,55
COLD_BOOST,35,18.5,25
COLD_BOOST,55,14.0,44
COLD_BOOST,25,22.5,14
COLD_BOOST,60,17.0,42
WEATHER_NEUTRAL,65,13.5,66
WEATHER_NEUTRAL,40,21.0,39
WEATHER_NEUTRAL,50,18.0,51
WEATHER_NEUTRAL,35,15.0,34
WEATHER_NEUTRAL,75,19.0,76
WEATHER_NEUTRAL,30,22.5,29
WEATHER_NEUTRAL,55,14.0,56
WEATHER_NEUTRAL,45,16.5,44
WEATHER_NEUTRAL,60,20.0,58
WEATHER_NEUTRAL,20,12.5,21
HEAT_BOOST,50,21.5,46
HEAT_BOOST,40,15.0,30
HEAT_BOOST,60,18.0,49
HEAT_BOOST,35,13.5,24
HEAT_BOOST,75,22.0,67
HEAT_BOOST,30,16.5,24
HEAT_BOOST,55,19.0,47
HEAT_BOOST,45,14.0,32
HEAT_BOOST,65,20.0,55
HEAT_BOOST,25,17.5,20
COLD_BOOST,45,13.0,37
COLD_BOOST,35,16.5,26
COLD_BOOST,65,21.5,41
COLD_BOOST,50,18.0,35
COLD_BOOST,30,14.5,23
COLD_BOOST,75,12.0,64
COLD_BOOST,40,19.0,27
COLD_BOOST,60,15.5,47
COLD_BOOST,20,22.0,12
COLD_BOOST,55,17.0,39
WEATHER_NEUTRAL,55,19.0,54
WEATHER_NEUTRAL,45,13.5,44
WEATHER_NEUTRAL,35,21.5,36
WEATHER_NEUTRAL,65,16.0,64
WEATHER_NEUTRAL,25,22.0,24
WEATHER_NEUTRAL,50,14.5,49
WEATHER_NEUTRAL,40,18.0,41
WEATHER_NEUTRAL,70,12.5,71
WEATHER_NEUTRAL,30,20.0,31
WEATHER_NEUTRAL,60,15.5,59

HEAT_BOOST,45,29.5,69
HEAT_BOOST,50,31.2,80
HEAT_BOOST,30,32.0,48
HEAT_BOOST,60,28.0,90
HEAT_BOOST,40,33.0,65
HEAT_BOOST,55,34.5,91
HEAT_BOOST,35,28.5,53
HEAT_BOOST,70,30.0,109
HEAT_BOOST,25,31.0,39
HEAT_BOOST,50,27.0,74
COLD_BOOST,40,28.5,9
COLD_BOOST,55,29.0,12
COLD_BOOST,30,32.0,5
COLD_BOOST,60,28.0,13
COLD_BOOST,45,34.0,7
COLD_BOOST,50,27.0,12
COLD_BOOST,35,31.0,7
COLD_BOOST,65,29.5,14
COLD_BOOST,25,35.0,4
COLD_BOOST,50,32.0,9
WEATHER_NEUTRAL,40,32.0,41
WEATHER_NEUTRAL,55,30.0,54
WEATHER_NEUTRAL,30,29.0,29
WEATHER_NEUTRAL,60,35.0,61
WEATHER_NEUTRAL,45,33.0,46
WEATHER_NEUTRAL,50,31.0,48
WEATHER_NEUTRAL,35,26.0,36
WEATHER_NEUTRAL,70,28.0,69
WEATHER_NEUTRAL,25,34.0,25
WEATHER_NEUTRAL,50,28.0,52
HEAT_BOOST,65,32.5,105
HEAT_BOOST,40,30.0,62
HEAT_BOOST,55,29.0,84
HEAT_BOOST,35,33.5,57
HEAT_BOOST,80,31.0,126
HEAT_BOOST,45,27.0,67
HEAT_BOOST,30,34.0,49
HEAT_BOOST,60,31.5,95
HEAT_BOOST,50,30.5,78
HEAT_BOOST,20,27.5,30
COLD_BOOST,50,26.5,12
COLD_BOOST,30,28.0,7
COLD_BOOST,60,31.0,11
COLD_BOOST,45,26.5,11
COLD_BOOST,40,33.0,7
COLD_BOOST,70,29.0,15
COLD_BOOST,35,29.5,8
COLD_BOOST,55,35.0,8
COLD_BOOST,25,29.0,6
COLD_BOOST,60,31.0,11
WEATHER_NEUTRAL,65,32.0,66
WEATHER_NEUTRAL,40,29.0,39
WEATHER_NEUTRAL,50,28.0,51
WEATHER_NEUTRAL,35,28.0,34
WEATHER_NEUTRAL,75,35.0,76
WEATHER_NEUTRAL,30,31.0,29
WEATHER_NEUTRAL,55,34.0,56
WEATHER_NEUTRAL,45,32.5,44
WEATHER_NEUTRAL,60,30.0,58
WEATHER_NEUTRAL,20,27.0,21
HEAT_BOOST,50,32.0,80
HEAT_BOOST,40,34.0,66
HEAT_BOOST,60,30.0,93
HEAT_BOOST,35,26.0,51
HEAT_BOOST,75,29.0,115
HEAT_BOOST,30,30.5,47
HEAT_BOOST,55,33.5,89
HEAT_BOOST,45,29.0,69
HEAT_BOOST,65,31.5,103
HEAT_BOOST,25,32.5,40
COLD_BOOST,45,27.5,10
COLD_BOOST,35,29.5,8
COLD_BOOST,65,34.0,10
COLD_BOOST,50,28.5,11
COLD_BOOST,30,32.5,5
COLD_BOOST,75,28.0,17
COLD_BOOST,40,27.0,9
COLD_BOOST,60,36.0,8
COLD_BOOST,20,30.0,4
COLD_BOOST,55,30.5,11
WEATHER_NEUTRAL,55,29.0,54
WEATHER_NEUTRAL,45,30.5,44
WEATHER_NEUTRAL,35,31.5,36
WEATHER_NEUTRAL,65,31.0,64
WEATHER_NEUTRAL,25,32.0,24
WEATHER_NEUTRAL,50,29.5,49
WEATHER_NEUTRAL,40,34.0,41
WEATHER_NEUTRAL,70,36.0,71
WEATHER_NEUTRAL,30,28.0,31
WEATHER_NEUTRAL,60,33.5,59

HEAT_BOOST,45,15.5,32
HEAT_BOOST,50,12.0,32
HEAT_BOOST,30,18.0,23
HEAT_BOOST,60,14.0,41
HEAT_BOOST,40,19.0,31
HEAT_BOOST,55,11.5,34
HEAT_BOOST,35,16.0,25
HEAT_BOOST,70,13.0,46
HEAT_BOOST,25,17.5,18
HEAT_BOOST,50,10.5,30
COLD_BOOST,40,12.5,35
COLD_BOOST,55,15.0,44
COLD_BOOST,30,19.0,20
COLD_BOOST,60,13.5,50
COLD_BOOST,45,11.0,41
COLD_BOOST,50,16.0,38
COLD_BOOST,35,18.5,24
COLD_BOOST,65,12.0,58
COLD_BOOST,25,20.0,16
COLD_BOOST,50,14.0,41
WEATHER_NEUTRAL,40,16.0,41
WEATHER_NEUTRAL,55,13.0,54
WEATHER_NEUTRAL,30,19.0,29
WEATHER_NEUTRAL,60,15.0,61
WEATHER_NEUTRAL,45,17.5,46
WEATHER_NEUTRAL,50,11.0,48
WEATHER_NEUTRAL,35,20.0,36
WEATHER_NEUTRAL,70,14.0,69
WEATHER_NEUTRAL,25,18.0,25
WEATHER_NEUTRAL,50,12.5,52
HEAT_BOOST,65,13.5,44
HEAT_BOOST,40,18.5,30
HEAT_BOOST,55,15.0,38
HEAT_BOOST,35,12.0,22
HEAT_BOOST,80,16.5,58
HEAT_BOOST,45,11.0,28
HEAT_BOOST,30,20.0,24
HEAT_BOOST,60,14.5,41
HEAT_BOOST,50,17.0,37
HEAT_BOOST,20,13.0,13
COLD_BOOST,50,12.5,44
COLD_BOOST,30,18.0,21
COLD_BOOST,60,13.0,52
COLD_BOOST,45,15.5,36
COLD_BOOST,40,19.0,27
COLD_BOOST,70,11.5,63
COLD_BOOST,35,16.5,27
COLD_BOOST,55,13.0,48
COLD_BOOST,25,20.5,15
COLD_BOOST,60,14.0,48
WEATHER_NEUTRAL,65,12.0,66
WEATHER_NEUTRAL,40,19.0,39
WEATHER_NEUTRAL,50,18.0,51
WEATHER_NEUTRAL,35,15.0,34
WEATHER_NEUTRAL,75,13.5,76
WEATHER_NEUTRAL,30,21.0,29
WEATHER_NEUTRAL,55,14.0,56
WEATHER_NEUTRAL,45,16.5,44
WEATHER_NEUTRAL,60,11.0,58
WEATHER_NEUTRAL,20,17.0,21
HEAT_BOOST,50,12.0,32
HEAT_BOOST,40,14.0,27
HEAT_BOOST,60,18.0,46
HEAT_BOOST,35,16.0,25
HEAT_BOOST,75,13.0,49
HEAT_BOOST,30,10.5,18
HEAT_BOOST,55,19.5,43
HEAT_BOOST,45,15.0,31
HEAT_BOOST,65,11.5,41
HEAT_BOOST,25,12.5,16
COLD_BOOST,45,13.0,39
COLD_BOOST,35,15.5,27
COLD_BOOST,65,18.0,46
COLD_BOOST,50,12.0,45
COLD_BOOST,30,16.5,23
COLD_BOOST,75,11.0,69
COLD_BOOST,40,17.0,29
COLD_BOOST,60,14.5,46
COLD_BOOST,20,20.0,13
COLD_BOOST,55,13.5,47
WEATHER_NEUTRAL,55,19.0,54
WEATHER_NEUTRAL,45,12.5,44
